ID,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWork,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2
46,CollS46,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.896,0.876,4,15,12,20,38,13,10,15,7,18,2,2,5,9,24,6,2,53,11,14,24,38,9,12,17,13,34,2,2,7,11,29,10,0,50,-1,4,-5,-5,-12,17,100.000,56,18,62.0,24,1.100,1.300,59.0,21.0,65.0,28.0
47,CollS47,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.934,0.742,4,11,10,13,30,9,9,12,6,20,2,1,1,4,13,2,0,50,31,15,15,42,19,12,11,15,16,12,3,4,19,45,17,2,69,7,-7,0,-17,4,-3,71.429,40,10,78.0,36,2.000,3.600,59.0,23.0,115.0,83.0
48,CollS48,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.538,0.902,4,39,29,49,74,25,20,29,13,18,14,9,20,43,58,17,4,74,12,18,12,34,11,13,10,5,15,1,5,2,8,24,7,0,50,-21,-4,-11,1,-1,0,217.647,134,60,47.0,13,0.400,0.200,91.0,37.0,150.0,66.0
49,CollS49,2,18,1,0,0,0,0,0,0,0,0,0.904,0.850,5,10,15,14,30,8,12,10,6,20,2,3,4,9,30,3,2,53,25,19,3,34,16,15,3,14,41,9,4,0,13,38,14,2,68,0,2,-4,-10,1,-3,88.235,47,17,63.0,29,1.300,1.700,55.0,23.0,74.0,39.0
50,CollS50,1,21,1,1,0,0,0,0,0,0,0,0.540,0.886,6,38,43,44,78,24,27,27,3,4,14,16,17,47,60,4,4,64,8,21,17,36,7,16,13,12,33,1,5,4,10,28,5,2,56,-24,3,-1,-1,-10,7,216.667,132,54,60.0,24,0.500,0.400,96.0,39.0,149.0,61.0
51,CollS51,1,20,1,4,0,0,0,0,0,0,0,0.848,0.618,5,16,21,20,42,13,15,14,3,7,3,6,6,15,36,3,2,52,29,38,44,72,20,25,27,9,13,9,13,17,39,54,12,2,56,-5,3,0,-14,-7,13,58.330,62,20,122.0,50,2.000,2.500,92.0,35.0,181.0,88.0
52,CollS52,1,22,3,0,0,0,0,0,0,0,0,0.698,0.856,1,40,22,16,52,25,16,11,23,44,15,6,5,26,50,19,6,69,9,5,30,32,7,5,20,28,88,2,0,10,12,38,18,4,75,-17,-8,5,-5,5,-16,162.500,107,55,76.0,44,0.700,0.800,92.0,50.0,119.0,60.0
53,CollS53,1,21,1,0,0,0,0,0,0,0,0,0.910,0.804,5,5,20,14,30,5,14,11,12,40,0,6,3,9,30,9,2,63,32,10,25,46,20,9,17,14,30,12,1,8,21,46,15,2,54,1,-4,-5,-20,-1,17,65.217,53,23,83.0,37,1.600,1.600,68.0,30.0,107.0,48.0
54,CollS54,1,20,1,1,0,0,0,0,0,0,0,0.854,0.932,6,7,15,27,36,6,12,18,18,50,1,3,9,13,36,14,2,56,11,15,6,26,9,11,6,7,27,2,4,0,6,23,6,0,50,-6,0,2,-5,7,-2,138.462,69,33,39.0,13,0.600,0.400,54.0,23.0,77.0,37.0
55,CollS55,1,22,1,0,0,0,0,0,0,0,0,0.862,0.800,3,25,10,17,38,17,8,13,13,34,8,2,4,14,37,10,0,50,36,11,12,42,23,9,10,27,64,13,2,2,17,40,22,4,67,-13,8,5,-23,7,2,90.476,65,72,90.0,48,1.400,1.800,78.0,38.0,108.0,68.0
56,CollS56,2,31,1,0,0,0,0,0,0,0,0,0.882,0.608,4,16,12,18,34,12,9,13,5,15,4,3,5,12,35,3,0,50,21,43,35,64,14,27,23,17,27,7,16,12,35,55,13,6,77,-4,1,3,-14,-15,-5,53.125,51,17,122.0,58,2.400,3.400,87.0,38.0,208.0,130.0
57,CollS57,1,21,1,0,0,0,0,0,0,0,0,0.710,0.706,7,30,30,24,56,20,20,16,4,7,10,10,8,28,50,2,4,70,28,32,28,56,17,21,18,7,13,11,11,10,32,57,1,4,68,-10,-14,2,-11,-1,-8,100.000,92,36,99.0,43,1.100,1.200,96.0,40.0,104.0,48.0
58,CollS58,1,21,1,0,0,0,0,0,0,0,0,0.340,0.840,1,80,43,28,92,46,27,19,46,50,34,16,9,59,64,43,8,74,24,13,22,42,17,10,15,9,21,7,3,7,17,40,4,2,60,-40,-7,3,-9,-6,7,219.048,205,113,70.0,28,0.300,0.300,138.0,71.0,229.0,124.0
59,CollS59,2,24,1,2,0,0,0,0,0,0,0,0.826,0.894,4,21,7,28,40,14,7,19,17,43,7,0,9,16,40,11,2,60,16,8,17,32,12,8,12,4,13,4,0,5,9,28,6,0,50,-8,1,-1,-4,-4,8,125.000,75,35,45.0,13,0.600,0.400,60.0,24.0,84.0,39.0
