ID,Type,CodeName,Gender,Age,Educ,BusExp,PrevFound,QFounded,PrevWorked,QWorked,PrevPitch,QPrevPitch,ScaleIntent,Rho1,Rho2,StageType,GlobalI1,GlobalE1,GlobalS1,DIF1,DIMI1,DIME1,DIMS1,DIM1,DIMper1,INTI1,INTE1,INTS1,INT1,INTper1,DI1,DIS1,AIper1,GlobalI2,GlobalE2,GlobalS2,DIF2,DIMI2,DIME2,DIMS2,DIM2,DIMper2,INTI2,INTE2,INTS2,INT2,INTper2,DI2,DIS2,AIper2,BalDIMI1,BalDIME1,BalDIMS1,BalDIMI2,BalDIME2,BalDIMS2,DIF1divDIF2,VQ1,VQ2,SQ1,SQ2,BQr1,BQR2,BQa1,BQa2,CQ1,CQ2,FQ1,FQ2,CapAction
60,E,R042RG,2,35,3,17,0,0,0,0,1,3,1,0.788,0.922,3,33,9,12,38,21,7,10,25,66,12,2,2,16,42,20,2,74,6,9,19,28,6,8,14,14,50,0,1,5,6,21,9,0,50,-21,1,2,-2,-4,6,135.714,81,43,48.0,20,0.600,0.500,65.0,32.0,92.0,49.0,52.00,39.00,14.00
61,E,R043RG,1,39,3,20,1,4,1,2,1,12,1,0.834,0.870,4,23,9,27,42,16,8,18,12,29,7,1,9,17,40,10,2,62,15,12,20,36,12,11,13,3,8,3,1,7,11,31,10,2,53,-4,-4,-2,-4,-9,11,116.667,73,31,52.0,16,0.700,0.500,63.0,24.0,81.0,36.0,35.50,22.00,23.00
62,E,R044RG,1,47,1,25,1,1,1,1,1,1,1,0.932,0.848,3,14,8,13,30,12,8,10,6,20,2,0,3,5,17,4,0,50,16,12,24,36,11,9,16,12,33,5,3,8,16,44,8,0,50,-2,2,0,-7,-9,16,83.333,41,11,64.0,28,1.600,2.600,53.0,20.0,83.0,51.0,25.00,34.50,20.00
63,E,R045RG,2,19,1,0,0,0,1,1,0,0,1,0.940,0.942,9,16,7,7,26,13,7,6,13,50,3,0,1,4,15,5,0,50,12,6,9,22,9,5,8,5,23,3,1,1,5,23,4,0,50,-1,-5,6,-9,1,8,118.182,43,17,32.0,10,0.700,0.600,38.0,14.0,48.0,20.0,38.00,22.50,14.00
64,E,R046RG,2,35,3,13,1,1,1,3,0,0,1,0.902,0.858,5,3,27,12,32,3,19,10,25,78,0,8,2,10,31,14,2,59,18,19,18,40,13,14,13,2,5,5,5,5,15,38,0,0,50,1,-11,4,-9,-4,13,80.000,69,37,57.0,17,0.800,0.500,63.0,27.0,74.0,42.0,55.00,22.50,27.00
65,E,R047RG,1,19,1,0,0,0,0,0,1,1,1,0.854,0.718,4,17,9,25,38,13,8,17,13,34,4,1,8,13,34,11,0,50,37,21,12,48,22,15,11,18,38,15,6,1,22,46,23,2,67,-5,-2,7,-22,3,3,79.167,64,26,90.0,42,1.400,1.600,77.0,34.0,109.0,55.0,36.00,43.00,37.00
66,E,R048RG,1,41,4,18,1,3,1,6,1,20,1,0.892,0.904,4,12,9,26,36,10,7,19,21,58,2,2,7,11,31,10,4,69,16,13,13,12,12,10,10,4,13,4,3,3,10,31,2,0,50,0,-5,-9,-4,2,2,112.500,72,36,46.0,14,0.600,0.400,59.0,25.0,80.0,40.0,47.00,12.50,22.00
67,E,R049RG,1,22,3,1,0,0,0,0,1,1,1,0.854,0.900,3,26,13,18,42,18,10,14,12,29,8,3,4,15,36,9,0,50,22,10,12,34,16,8,10,14,41,6,2,2,10,29,8,2,53,-6,4,2,-6,-4,8,123.529,69,27,60.0,26,0.900,1.000,65.0,27.0,73.0,28.0,35.50,37.50,24.00
68,E,R050RG,1,40,3,18,1,3,1,3,1,100,1,0.836,0.862,4,18,12,23,38,12,10,16,10,26,6,2,7,15,39,6,0,50,16,20,15,38,12,15,11,7,18,4,5,4,13,34,2,0,50,-12,2,10,-12,1,11,100.000,63,25,58.0,20,0.900,0.800,61.0,23.0,66.0,28.0,32.00,28.00,27.00
69,E,R051RG,2,37,4,3,0,0,0,0,0,0,1,0.798,0.830,3,31,13,24,48,20,11,17,12,25,11,2,7,20,42,13,4,67,17,29,15,42,12,19,11,15,36,5,10,4,19,45,11,4,69,-8,-3,-5,-10,-1,-5,114.286,84,36,80.0,38,1.000,1.100,82.0,37.0,86.0,39.0,36.50,39.00,31.00
